Time,FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FIRST FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SECOND FLOOR:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,8.952852E+03,0.000000E+00,4.638390E-01,0.000000E+00,1.350488E+04,5.713152E+02,6.997079E-01,5.653632E-02
00:20:00,8.967442E+03,0.000000E+00,4.645949E-01,0.000000E+00,1.352586E+04,4.847249E+02,7.007951E-01,4.796755E-02
00:30:00,8.982052E+03,0.000000E+00,4.653517E-01,0.000000E+00,1.354688E+04,3.994346E+02,7.018839E-01,3.952767E-02
00:40:00,8.996677E+03,0.000000E+00,4.661093E-01,0.000000E+00,1.356792E+04,3.154679E+02,7.029741E-01,3.121871E-02
00:50:00,9.011312E+03,0.000000E+00,4.668673E-01,0.000000E+00,1.358900E+04,2.328450E+02,7.040661E-01,2.304263E-02
01:00:00,9.025954E+03,0.000000E+00,4.676256E-01,0.000000E+00,1.361012E+04,1.515846E+02,7.051597E-01,1.500125E-02
01:10:00,9.029218E+03,0.000000E+00,4.677945E-01,0.000000E+00,1.361418E+04,1.013377E+02,7.053696E-01,1.002874E-02
01:20:00,9.032484E+03,0.000000E+00,4.679641E-01,0.000000E+00,1.361827E+04,6.126737E+01,7.055821E-01,6.063233E-03
01:30:00,9.035747E+03,0.000000E+00,4.681333E-01,0.000000E+00,1.362239E+04,3.120817E+01,7.057958E-01,3.088490E-03
01:40:00,9.039003E+03,0.000000E+00,4.683020E-01,0.000000E+00,1.362654E+04,1.104666E+01,7.060109E-01,1.093231E-03
01:50:00,9.042248E+03,0.000000E+00,4.684701E-01,0.000000E+00,1.363072E+04,6.776003E-01,7.062275E-01,6.705937E-05
02:00:00,9.045478E+03,0.000000E+00,4.686374E-01,0.000000E+00,1.363493E+04,0.000000E+00,7.064457E-01,0.000000E+00
02:10:00,9.047243E+03,0.000000E+00,4.687288E-01,0.000000E+00,1.363699E+04,0.000000E+00,7.065525E-01,0.000000E+00
02:20:00,9.048991E+03,0.000000E+00,4.688194E-01,0.000000E+00,1.363908E+04,0.000000E+00,7.066608E-01,0.000000E+00
02:30:00,9.050724E+03,0.000000E+00,4.689092E-01,0.000000E+00,1.364120E+04,0.000000E+00,7.067704E-01,0.000000E+00
02:40:00,9.052441E+03,0.000000E+00,4.689982E-01,0.000000E+00,1.364334E+04,0.000000E+00,7.068814E-01,0.000000E+00
02:50:00,9.054143E+03,0.000000E+00,4.690863E-01,0.000000E+00,1.364550E+04,0.000000E+00,7.069935E-01,0.000000E+00
03:00:00,9.055829E+03,0.000000E+00,4.691737E-01,0.000000E+00,1.364769E+04,0.000000E+00,7.071067E-01,0.000000E+00
03:10:00,9.056778E+03,0.000000E+00,4.692228E-01,0.000000E+00,1.364881E+04,0.000000E+00,7.071646E-01,0.000000E+00
03:20:00,9.057715E+03,0.000000E+00,4.692714E-01,0.000000E+00,1.364994E+04,0.000000E+00,7.072235E-01,0.000000E+00
03:30:00,9.058641E+03,0.000000E+00,4.693193E-01,0.000000E+00,1.365110E+04,0.000000E+00,7.072834E-01,0.000000E+00
03:40:00,9.059556E+03,0.000000E+00,4.693668E-01,0.000000E+00,1.365227E+04,0.000000E+00,7.073440E-01,0.000000E+00
03:50:00,9.060463E+03,0.000000E+00,4.694138E-01,0.000000E+00,1.365346E+04,0.000000E+00,7.074054E-01,0.000000E+00
04:00:00,9.061363E+03,0.000000E+00,4.694603E-01,0.000000E+00,1.365465E+04,0.000000E+00,7.074675E-01,0.000000E+00
04:10:00,9.055265E+03,0.000000E+00,4.691444E-01,0.000000E+00,1.364537E+04,0.000000E+00,7.069865E-01,0.000000E+00
04:20:00,9.049160E+03,0.000000E+00,4.688285E-01,0.000000E+00,1.363610E+04,0.000000E+00,7.065066E-01,0.000000E+00
04:30:00,9.043044E+03,0.000000E+00,4.685119E-01,0.000000E+00,1.362683E+04,0.000000E+00,7.060269E-01,0.000000E+00
04:40:00,9.036917E+03,0.000000E+00,4.681946E-01,0.000000E+00,1.361758E+04,0.000000E+00,7.055476E-01,0.000000E+00
04:50:00,9.030774E+03,0.000000E+00,4.678765E-01,0.000000E+00,1.360833E+04,0.000000E+00,7.050686E-01,0.000000E+00
05:00:00,9.024615E+03,0.000000E+00,4.675575E-01,0.000000E+00,1.359909E+04,0.000000E+00,7.045899E-01,0.000000E+00
05:10:00,9.010269E+03,0.000000E+00,4.668143E-01,0.000000E+00,1.357759E+04,0.000000E+00,7.034761E-01,0.000000E+00
05:20:00,8.995904E+03,0.000000E+00,4.660706E-01,0.000000E+00,1.355609E+04,0.000000E+00,7.023631E-01,0.000000E+00
05:30:00,8.981517E+03,0.000000E+00,4.653257E-01,0.000000E+00,1.353460E+04,0.000000E+00,7.012499E-01,0.000000E+00
05:40:00,8.967106E+03,0.000000E+00,4.645794E-01,0.000000E+00,1.351311E+04,0.000000E+00,7.001367E-01,0.000000E+00
05:50:00,8.952669E+03,0.000000E+00,4.638317E-01,0.000000E+00,1.349161E+04,0.000000E+00,6.990235E-01,0.000000E+00
06:00:00,8.938204E+03,0.000000E+00,4.630825E-01,0.000000E+00,1.347012E+04,0.000000E+00,6.979102E-01,0.000000E+00
06:10:00,8.927765E+03,0.000000E+00,4.625419E-01,0.000000E+00,1.345471E+04,0.000000E+00,6.971122E-01,0.000000E+00
06:20:00,8.917297E+03,0.000000E+00,4.619996E-01,0.000000E+00,1.343930E+04,0.000000E+00,6.963137E-01,0.000000E+00
06:30:00,8.906804E+03,0.000000E+00,4.614561E-01,0.000000E+00,1.342388E+04,0.000000E+00,6.955150E-01,0.000000E+00
06:40:00,8.896292E+03,0.000000E+00,4.609117E-01,0.000000E+00,1.340846E+04,0.000000E+00,6.947162E-01,0.000000E+00
06:50:00,8.885766E+03,0.000000E+00,4.603665E-01,0.000000E+00,1.339303E+04,0.000000E+00,6.939170E-01,0.000000E+00
07:00:00,8.875228E+03,0.000000E+00,4.598207E-01,0.000000E+00,1.337760E+04,0.000000E+00,6.931174E-01,0.000000E+00
07:10:00,8.873067E+03,0.000000E+00,4.597089E-01,0.000000E+00,1.337464E+04,0.000000E+00,6.929647E-01,0.000000E+00
07:20:00,8.871076E+03,0.000000E+00,4.596055E-01,0.000000E+00,1.337190E+04,1.934308E+01,6.928221E-01,1.919152E-03
07:30:00,8.869169E+03,0.000000E+00,4.595062E-01,0.000000E+00,1.336928E+04,5.917750E+01,6.926854E-01,5.861372E-03
07:40:00,8.867318E+03,0.000000E+00,4.594097E-01,0.000000E+00,1.336674E+04,1.161251E+02,6.925530E-01,1.149710E-02
07:50:00,8.865511E+03,0.000000E+00,4.593155E-01,0.000000E+00,1.336427E+04,1.907400E+02,6.924240E-01,1.888114E-02
08:00:00,8.863740E+03,0.000000E+00,4.592232E-01,0.000000E+00,1.336186E+04,2.828876E+02,6.922975E-01,2.800019E-02
08:10:00,8.885678E+03,0.000000E+00,4.603591E-01,0.000000E+00,1.339478E+04,3.652360E+02,6.940024E-01,3.614950E-02
08:20:00,8.908003E+03,1.913985E+01,4.615139E-01,1.895086E-03,1.342819E+04,4.485986E+02,6.957302E-01,4.439416E-02
08:30:00,8.930525E+03,5.534933E+01,4.626785E-01,5.478524E-03,1.346189E+04,5.328477E+02,6.974726E-01,5.273115E-02
08:40:00,8.953193E+03,1.079511E+02,4.638506E-01,1.068412E-02,1.349581E+04,6.197601E+02,6.992260E-01,6.133156E-02
08:50:00,8.975983E+03,1.758209E+02,4.650290E-01,1.740056E-02,1.352990E+04,7.099982E+02,7.009883E-01,7.026092E-02
09:00:00,8.998880E+03,2.580394E+02,4.662129E-01,2.553688E-02,1.356414E+04,8.055969E+02,7.027579E-01,7.972060E-02
09:10:00,9.005527E+03,3.472384E+02,4.665549E-01,3.436393E-02,1.357419E+04,9.261776E+02,7.032746E-01,9.165234E-02
09:20:00,9.011893E+03,4.281470E+02,4.668832E-01,4.236948E-02,1.358389E+04,1.048768E+03,7.037740E-01,1.037828E-01
09:30:00,9.018162E+03,5.017553E+02,4.672070E-01,4.965336E-02,1.359340E+04,1.172298E+03,7.042646E-01,1.160061E-01
09:40:00,9.024378E+03,5.676235E+02,4.675282E-01,5.617125E-02,1.360277E+04,1.298210E+03,7.047490E-01,1.284650E-01
09:50:00,9.030559E+03,6.260827E+02,4.678478E-01,6.195593E-02,1.361206E+04,1.425140E+03,7.052288E-01,1.410247E-01
10:00:00,9.036716E+03,6.775369E+02,4.681660E-01,6.704743E-02,1.362129E+04,1.551164E+03,7.057055E-01,1.534947E-01
10:10:00,9.036055E+03,7.293741E+02,4.681311E-01,7.217683E-02,1.362035E+04,1.685047E+03,7.056557E-01,1.667423E-01
10:20:00,9.035202E+03,7.764006E+02,4.680866E-01,7.683019E-02,1.361916E+04,1.817828E+03,7.055934E-01,1.798809E-01
10:30:00,9.034252E+03,8.202203E+02,4.680373E-01,8.116622E-02,1.361782E+04,1.950247E+03,7.055235E-01,1.929836E-01
10:40:00,9.033238E+03,8.627394E+02,4.679847E-01,8.537355E-02,1.361637E+04,2.083392E+03,7.054482E-01,2.061582E-01
10:50:00,9.032172E+03,9.055794E+02,4.679296E-01,8.961262E-02,1.361483E+04,2.218489E+03,7.053685E-01,2.195260E-01
11:00:00,9.031065E+03,9.502184E+02,4.678722E-01,9.402968E-02,1.361323E+04,2.356737E+03,7.052856E-01,2.332055E-01
11:10:00,9.030661E+03,9.956804E+02,4.678513E-01,9.852771E-02,1.361268E+04,2.495946E+03,7.052572E-01,2.469788E-01
11:20:00,9.030236E+03,1.043524E+03,4.678293E-01,1.032609E-01,1.361211E+04,2.637498E+03,7.052275E-01,2.609827E-01
11:30:00,9.029791E+03,1.093541E+03,4.678063E-01,1.082091E-01,1.361151E+04,2.780814E+03,7.051965E-01,2.751610E-01
11:40:00,9.029326E+03,1.144529E+03,4.677822E-01,1.132534E-01,1.361089E+04,2.924485E+03,7.051644E-01,2.893743E-01
11:50:00,9.028843E+03,1.194654E+03,4.677572E-01,1.182122E-01,1.361025E+04,3.066464E+03,7.051313E-01,3.034201E-01
12:00:00,9.028345E+03,1.242022E+03,4.677314E-01,1.228981E-01,1.360959E+04,3.204672E+03,7.050973E-01,3.170927E-01
12:10:00,9.029281E+03,1.286109E+03,4.677799E-01,1.272599E-01,1.361110E+04,3.337999E+03,7.051753E-01,3.302834E-01
12:20:00,9.030205E+03,1.328636E+03,4.678277E-01,1.314677E-01,1.361259E+04,3.468528E+03,7.052524E-01,3.431985E-01
12:30:00,9.031118E+03,1.369141E+03,4.678750E-01,1.354754E-01,1.361406E+04,3.595790E+03,7.053289E-01,3.557903E-01
12:40:00,9.032020E+03,1.407260E+03,4.679217E-01,1.392471E-01,1.361553E+04,3.719531E+03,7.054048E-01,3.680338E-01
12:50:00,9.032914E+03,1.443143E+03,4.679680E-01,1.427974E-01,1.361698E+04,3.839843E+03,7.054802E-01,3.799379E-01
13:00:00,9.033799E+03,1.477642E+03,4.680138E-01,1.462086E-01,1.361843E+04,3.957331E+03,7.055550E-01,3.915575E-01
13:10:00,9.036128E+03,1.508724E+03,4.681345E-01,1.492811E-01,1.362204E+04,4.068858E+03,7.057421E-01,4.025860E-01
13:20:00,9.038456E+03,1.537440E+03,4.682550E-01,1.521196E-01,1.362565E+04,4.175988E+03,7.059291E-01,4.131790E-01
13:30:00,9.040778E+03,1.565057E+03,4.683752E-01,1.548492E-01,1.362926E+04,4.279279E+03,7.061157E-01,4.233919E-01
13:40:00,9.043095E+03,1.593699E+03,4.684952E-01,1.576802E-01,1.363285E+04,4.379823E+03,7.063017E-01,4.333329E-01
13:50:00,9.045407E+03,1.625580E+03,4.686150E-01,1.608315E-01,1.363643E+04,4.478868E+03,7.064873E-01,4.431254E-01
14:00:00,9.047717E+03,1.661996E+03,4.687346E-01,1.644337E-01,1.364000E+04,4.576992E+03,7.066724E-01,4.528317E-01
14:10:00,9.048573E+03,1.703799E+03,4.687789E-01,1.685692E-01,1.364139E+04,4.675247E+03,7.067442E-01,4.625523E-01
14:20:00,9.049423E+03,1.749334E+03,4.688230E-01,1.730738E-01,1.364276E+04,4.771017E+03,7.068154E-01,4.720275E-01
14:30:00,9.050271E+03,1.797714E+03,4.688669E-01,1.778599E-01,1.364413E+04,4.863483E+03,7.068861E-01,4.811759E-01
14:40:00,9.051118E+03,1.847610E+03,4.689108E-01,1.827961E-01,1.364549E+04,4.951514E+03,7.069566E-01,4.898855E-01
14:50:00,9.051964E+03,1.897432E+03,4.689546E-01,1.877249E-01,1.364684E+04,5.033808E+03,7.070268E-01,4.980277E-01
15:00:00,9.052806E+03,1.945475E+03,4.689983E-01,1.924778E-01,1.364819E+04,5.109038E+03,7.070967E-01,5.054710E-01
15:10:00,9.046204E+03,1.997130E+03,4.686562E-01,1.975881E-01,1.363836E+04,5.186456E+03,7.065875E-01,5.131309E-01
15:20:00,9.039603E+03,2.043473E+03,4.683146E-01,2.021745E-01,1.362854E+04,5.253863E+03,7.060789E-01,5.198033E-01
15:30:00,9.032997E+03,2.083573E+03,4.679727E-01,2.061455E-01,1.361871E+04,5.310414E+03,7.055700E-01,5.254058E-01
15:40:00,9.026384E+03,2.116964E+03,4.676302E-01,2.094529E-01,1.360888E+04,5.355405E+03,7.050610E-01,5.298652E-01
15:50:00,9.019759E+03,2.143390E+03,4.672872E-01,2.120714E-01,1.359904E+04,5.388251E+03,7.045517E-01,5.331230E-01
16:00:00,9.013122E+03,2.162936E+03,4.669434E-01,2.140092E-01,1.358921E+04,5.408583E+03,7.040422E-01,5.351429E-01
16:10:00,8.991159E+03,2.193115E+03,4.658057E-01,2.169992E-01,1.355639E+04,5.441550E+03,7.023424E-01,5.384129E-01
16:20:00,8.969112E+03,2.219543E+03,4.646645E-01,2.196143E-01,1.352350E+04,5.465114E+03,7.006393E-01,5.407461E-01
16:30:00,8.947004E+03,2.242068E+03,4.635200E-01,2.218431E-01,1.349054E+04,5.479332E+03,6.989329E-01,5.421534E-01
16:40:00,8.924847E+03,2.260564E+03,4.623728E-01,2.236732E-01,1.345754E+04,5.483989E+03,6.972241E-01,5.426146E-01
16:50:00,8.902642E+03,2.274674E+03,4.612230E-01,2.250694E-01,1.342450E+04,5.478820E+03,6.955135E-01,5.421035E-01
17:00:00,8.880387E+03,2.283810E+03,4.600707E-01,2.259747E-01,1.339144E+04,5.463556E+03,6.938013E-01,5.405963E-01
17:10:00,8.851191E+03,2.293305E+03,4.585587E-01,2.269152E-01,1.334812E+04,5.446927E+03,6.915578E-01,5.389537E-01
17:20:00,8.821749E+03,2.296162E+03,4.570344E-01,2.272016E-01,1.330453E+04,5.419038E+03,6.893008E-01,5.362016E-01
17:30:00,8.792167E+03,2.291864E+03,4.555030E-01,2.267779E-01,1.326076E+04,5.379315E+03,6.870352E-01,5.322754E-01
17:40:00,8.762479E+03,2.278708E+03,4.539664E-01,2.254781E-01,1.321686E+04,5.326648E+03,6.847629E-01,5.270685E-01
17:50:00,8.732706E+03,2.257372E+03,4.524253E-01,2.233693E-01,1.317285E+04,5.261601E+03,6.824850E-01,5.206377E-01
18:00:00,8.702860E+03,2.228396E+03,4.508805E-01,2.205031E-01,1.312874E+04,5.184905E+03,6.802024E-01,5.130514E-01
18:10:00,8.682479E+03,2.180560E+03,4.498260E-01,2.157705E-01,1.309899E+04,5.080256E+03,6.786630E-01,5.026981E-01
18:20:00,8.661898E+03,2.124353E+03,4.487606E-01,2.102096E-01,1.306897E+04,4.963358E+03,6.771096E-01,4.911328E-01
18:30:00,8.641205E+03,2.060039E+03,4.476899E-01,2.038472E-01,1.303878E+04,4.834685E+03,6.755479E-01,4.784037E-01
18:40:00,8.620427E+03,1.988930E+03,4.466150E-01,1.968120E-01,1.300845E+04,4.695859E+03,6.739793E-01,4.646694E-01
18:50:00,8.599583E+03,1.908328E+03,4.455369E-01,1.888368E-01,1.297800E+04,4.545488E+03,6.724046E-01,4.497914E-01
19:00:00,8.578687E+03,1.817999E+03,4.444560E-01,1.798992E-01,1.294744E+04,4.383425E+03,6.708244E-01,4.337564E-01
19:10:00,8.574020E+03,1.708422E+03,4.442160E-01,1.690576E-01,1.294096E+04,4.194109E+03,6.704919E-01,4.150261E-01
19:20:00,8.569723E+03,1.595900E+03,4.439942E-01,1.579242E-01,1.293490E+04,4.001776E+03,6.701797E-01,3.959960E-01
19:30:00,8.565595E+03,1.486169E+03,4.437807E-01,1.470662E-01,1.292908E+04,3.813154E+03,6.698786E-01,3.773315E-01
19:40:00,8.561575E+03,1.381935E+03,4.435726E-01,1.367517E-01,1.292341E+04,3.633016E+03,6.695852E-01,3.595056E-01
19:50:00,8.557633E+03,1.286737E+03,4.433684E-01,1.273310E-01,1.291785E+04,3.466439E+03,6.692973E-01,3.430205E-01
20:00:00,8.553752E+03,1.201363E+03,4.431674E-01,1.188824E-01,1.291236E+04,3.316079E+03,6.690132E-01,3.281399E-01
20:10:00,8.555210E+03,1.120047E+03,4.432430E-01,1.108354E-01,1.291488E+04,3.174115E+03,6.691436E-01,3.140903E-01
20:20:00,8.556710E+03,1.047262E+03,4.433204E-01,1.036325E-01,1.291743E+04,3.048196E+03,6.692755E-01,3.016284E-01
20:30:00,8.558247E+03,9.785471E+02,4.433999E-01,9.683246E-02,1.292001E+04,2.933766E+03,6.694091E-01,2.903034E-01
20:40:00,8.559819E+03,9.123530E+02,4.434813E-01,9.028217E-02,1.292261E+04,2.827854E+03,6.695437E-01,2.798222E-01
20:50:00,8.561425E+03,8.482030E+02,4.435644E-01,8.393451E-02,1.292523E+04,2.727878E+03,6.696792E-01,2.699294E-01
21:00:00,8.563065E+03,7.862439E+02,4.436494E-01,7.780366E-02,1.292785E+04,2.632401E+03,6.698151E-01,2.604820E-01
21:10:00,8.578476E+03,7.112419E+02,4.444477E-01,7.038210E-02,1.295121E+04,2.517831E+03,6.710252E-01,2.491455E-01
21:20:00,8.593767E+03,6.377228E+02,4.452391E-01,6.310728E-02,1.297438E+04,2.405095E+03,6.722248E-01,2.379907E-01
21:30:00,8.609027E+03,5.661860E+02,4.460295E-01,5.602844E-02,1.299745E+04,2.293723E+03,6.734200E-01,2.269700E-01
21:40:00,8.624285E+03,4.961558E+02,4.468200E-01,4.909874E-02,1.302045E+04,2.182954E+03,6.746118E-01,2.160099E-01
21:50:00,8.639558E+03,4.273364E+02,4.476115E-01,4.228864E-02,1.304338E+04,2.073078E+03,6.758007E-01,2.051366E-01
22:00:00,8.654858E+03,3.592214E+02,4.484044E-01,3.554823E-02,1.306627E+04,1.964053E+03,6.769872E-01,1.943474E-01
22:10:00,8.680515E+03,2.830520E+02,4.497339E-01,2.801064E-02,1.310453E+04,1.842480E+03,6.789699E-01,1.823174E-01
22:20:00,8.706360E+03,2.107588E+02,4.510727E-01,2.085653E-02,1.314294E+04,1.722750E+03,6.809600E-01,1.704703E-01
22:30:00,8.732314E+03,1.465730E+02,4.524169E-01,1.450480E-02,1.318144E+04,1.604938E+03,6.829543E-01,1.588128E-01
22:40:00,8.758356E+03,9.077463E+01,4.537656E-01,8.982951E-03,1.322000E+04,1.489337E+03,6.849518E-01,1.473732E-01
22:50:00,8.784477E+03,4.346502E+01,4.551185E-01,4.301285E-03,1.325861E+04,1.375906E+03,6.869519E-01,1.361497E-01
23:00:00,8.810668E+03,4.896829E+00,4.564749E-01,4.846081E-04,1.329727E+04,1.264681E+03,6.889542E-01,1.251446E-01
23:10:00,8.831812E+03,0.000000E+00,4.575699E-01,0.000000E+00,1.332829E+04,1.162002E+03,6.905610E-01,1.149847E-01
23:20:00,8.853016E+03,0.000000E+00,4.586683E-01,0.000000E+00,1.335936E+04,1.060139E+03,6.921702E-01,1.049050E-01
23:30:00,8.874273E+03,0.000000E+00,4.597693E-01,0.000000E+00,1.339045E+04,9.589849E+02,6.937809E-01,9.489600E-02
23:40:00,8.895574E+03,0.000000E+00,4.608726E-01,0.000000E+00,1.342158E+04,8.584738E+02,6.953932E-01,8.495066E-02
23:50:00,8.916914E+03,0.000000E+00,4.619779E-01,0.000000E+00,1.345274E+04,7.585587E+02,6.970072E-01,7.506426E-02
24:00:00,8.938287E+03,0.000000E+00,4.630848E-01,0.000000E+00,1.348393E+04,6.592038E+02,6.986228E-01,6.523323E-02
Peak,9.061363E+03,2.296162E+03,4.694603E-01,2.272016E-01,1.365465E+04,5.483989E+03,7.074675E-01,5.426146E-01

Peak Vol Flow (m3/s),,,4.864463E-01,2.354222E-01,,,7.330651E-01,5.622474E-01
